"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","mode","mode_name","type_of_service","mode_voms","major_mechanical_failures","major_mechanical_failures_1","other_mechanical_failures","other_mechanical_failures_1","total_mechanical_failures","total_mechanical_failures_1","vehicle_passenger_car_miles","vehicle_passenger_car_miles_1","vehicle_passenger_car_revenue","vehicle_passenger_car_miles_2","train_miles","train_miles_questionable","train_revenue_miles","train_revenue_miles_1"
"City of Evansville","Evansville","IN","50043","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","28333","Evansville, IN","206855","29","MB","Bus","DO","17","18",,"30",,"48",,"1029132",,"1012373",,"0",,"0",
"Metropolitan Transit Authority, dba: WeGo Public Transit","Madison","TN","40004","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","61273","Nashville-Davidson, TN","1158642","253","DR","Demand Response","DO","48","70",,"16",,"86",,"2448111",,"2093821",,"0",,"0",
"Metropolitan Transit Authority, dba: WeGo Public Transit","Madison","TN","40004","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","61273","Nashville-Davidson, TN","1158642","253","MB","Bus","DO","136","566",,"161",,"727",,"7116237",,"6187646",,"0",,"0",
"Metropolitan Transit Authority of Harris County, Texas , dba: METRO","Houston","TX","60008","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","40429","Houston, TX","5853575","1505","DR","Demand Response","PT","402","964",,"119",,"1083",,"19363672",,"16338892",,"0",,"0",
"Metropolitan Transit Authority of Harris County, Texas , dba: METRO","Houston","TX","60008","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","40429","Houston, TX","5853575","1505","LR","Light Rail","DO","52","70",,"229",,"299",,"3132724",,"3121679",,"2027163",,"2016117",
"Metropolitan Transit Authority of Harris County, Texas , dba: METRO","Houston","TX","60008","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","40429","Houston, TX","5853575","1505","MB","Bus","DO","520","4846",,"2237",,"7083",,"31270516",,"27849772",,"0",,"0",
"Metropolitan Transit Authority of Harris County, Texas , dba: METRO","Houston","TX","60008","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","40429","Houston, TX","5853575","1505","MB","Bus","PT","126","1689",,"544",,"2233",,"8973523",,"7991041",,"0",,"0",
"Metropolitan Transit Authority of Harris County, Texas , dba: METRO","Houston","TX","60008","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","40429","Houston, TX","5853575","1505","CB","Commuter Bus","DO","141","201",,"113",,"314",,"4102605",,"3063051",,"0",,"0",
"Metropolitan Transit Authority of Harris County, Texas , dba: METRO","Houston","TX","60008","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","40429","Houston, TX","5853575","1505","CB","Commuter Bus","PT","59","56",,"18",,"74",,"3013128",,"2254291",,"0",,"0",
"Metropolitan Transit Authority of Harris County, Texas , dba: METRO","Houston","TX","60008","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","40429","Houston, TX","5853575","1505","VP","Vanpool","DO","199","8",,"6",,"14",,"2602653",,"2602653",,"0",,"0",
"Metropolitan Transit Authority of Harris County, Texas , dba: METRO","Houston","TX","60008","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","40429","Houston, TX","5853575","1505","RB","Bus Rapid Transit","DO","6","89",,"27",,"116",,"375139",,"343399",,"0",,"0",
"Metropolitan Tulsa Transit Authority, dba: Tulsa Transit, MetroLink Tulsa","Tulsa","OK","60018","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","88948","Tulsa, OK","722810","82","DR","Demand Response","PT","25","52",,"0",,"52",,"989991",,"859747",,"0",,"0",
"Orange-Newark-Elizabeth, Inc., dba: Coach USA","Elizabeth","NJ","20166","Private-For-Profit Corporation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","34","MB","Bus","DO","34","4",,"14",,"18",,"577861",,"488342",,"0",,"0",
"Metropolitan Tulsa Transit Authority, dba: Tulsa Transit, MetroLink Tulsa","Tulsa","OK","60018","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","88948","Tulsa, OK","722810","82","MB","Bus","DO","43","311",,"68",,"379",,"2735125",,"2575778",,"0",,"0",
"Metropolitan Tulsa Transit Authority, dba: Tulsa Transit, MetroLink Tulsa","Tulsa","OK","60018","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","88948","Tulsa, OK","722810","82","MB","Bus","PT","14","35",,"0",,"35",,"315603",,"261620",,"0",,"0",
"Greater Dayton Regional Transit Authority","Dayton","OH","50017","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","22528","Dayton, OH","674046","134","DR","Demand Response","DO","54","141",,"59",,"200",,"1816138",,"1619622",,"0",,"0",
"Greater Dayton Regional Transit Authority","Dayton","OH","50017","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","22528","Dayton, OH","674046","134","MB","Bus","DO","76","365",,"696",,"1061",,"5086974","W","4961102","W","0",,"0",
"Greater Dayton Regional Transit Authority","Dayton","OH","50017","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","22528","Dayton, OH","674046","134","TB","Trolleybus","DO","4","125",,"81",,"206",,"226460","W","218669","W","0",,"0",
"County of Miami-Dade","Miami","FL","40034","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","56602","Miami--Fort Lauderdale, FL","6077522","1297","DR","Demand Response","PT","339","135",,"91",,"226",,"14142749",,"12310697",,"0",,"0",
"County of Miami-Dade","Miami","FL","40034","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","56602","Miami--Fort Lauderdale, FL","6077522","1297","HR","Heavy Rail","DO","84","100",,"2532",,"2632",,"7620928",,"7243733",,"1923122",,"1815898",
"County of Miami-Dade","Miami","FL","40034","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","56602","Miami--Fort Lauderdale, FL","6077522","1297","MB","Bus","DO","571","922",,"7925",,"8847",,"31443561",,"23781560",,"0",,"0",
"County of Miami-Dade","Miami","FL","40034","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","56602","Miami--Fort Lauderdale, FL","6077522","1297","MG","Monorail/Automated Guideway","DO","21","166",,"902",,"1068",,"1023298",,"971289",,"818638",,"771745",
"County of Miami-Dade","Miami","FL","40034","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","56602","Miami--Fort Lauderdale, FL","6077522","1297","CB","Commuter Bus","PT","9","20",,"86",,"106",,"1274461",,"1260591",,"0",,"0",
"County of Miami-Dade","Miami","FL","40034","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","56602","Miami--Fort Lauderdale, FL","6077522","1297","MB","Bus","PT","53","57",,"370",,"427",,"1913214",,"1514228",,"0",,"0",
"County of Miami-Dade","Miami","FL","40034","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","56602","Miami--Fort Lauderdale, FL","6077522","1297","VP","Vanpool","PT","220","3",,"4",,"7",,"3267284",,"3267284",,"0",,"0",
"Mid Mon Valley Transit Authority","Charleroi","PA","30061","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69697","Pittsburgh, PA","1745039","22","MB","Bus","PT","22","82",,"66",,"148",,"907888",,"753987",,"0",,"0",
"Milford Transit District","Milford","CT","10107","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","10162","Bridgeport--Stamford, CT--NY","916408","11","DR","Demand Response","DO","5","7",,"12",,"19",,"175017",,"158564",,"0",,"0",
"Milford Transit District","Milford","CT","10107","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","10162","Bridgeport--Stamford, CT--NY","916408","11","MB","Bus","DO","6","6",,"14",,"20",,"289045",,"284939",,"0",,"0",
"Milwaukee County, dba: Milwaukee County Transit System","Milwaukee","WI","50008","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","57466","Milwaukee, WI","1306795","370","DR","Demand Response","PT","80","28",,"21",,"49",,"2673113",,"2298352",,"0",,"0",
"Milwaukee County, dba: Milwaukee County Transit System","Milwaukee","WI","50008","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","57466","Milwaukee, WI","1306795","370","MB","Bus","PT","290","3471",,"1636",,"5107",,"17302053",,"16263471",,"0",,"0",
"Ms Coast Transportation Authority, dba: COAST TRANSIT AUTHORITY","Gulfport","MS","40014","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","35920","Gulfport--Biloxi, MS","236344","74","DR","Demand Response","DO","20","22",,"51",,"73",,"704609",,"565013",,"0",,"0",
"Ms Coast Transportation Authority, dba: COAST TRANSIT AUTHORITY","Gulfport","MS","40014","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","35920","Gulfport--Biloxi, MS","236344","74","MB","Bus","DO","17","62",,"157",,"219",,"825559",,"779715",,"0",,"0",
"Ms Coast Transportation Authority, dba: COAST TRANSIT AUTHORITY","Gulfport","MS","40014","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","35920","Gulfport--Biloxi, MS","236344","74","VP","Vanpool","PT","37","0",,"0",,"0",,"821104",,"821104",,"0",,"0",
"Missoula Urban Transportation District, dba: Mountain Line","Missoula","MT","80009","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","57736","Missoula, MT","88109","35","DR","Demand Response","DO","13","3",,"0",,"3",,"305658",,"283758",,"0",,"0",
"Missoula Urban Transportation District, dba: Mountain Line","Missoula","MT","80009","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","57736","Missoula, MT","88109","35","MB","Bus","DO","22","35",,"23",,"58",,"947529",,"916715",,"0",,"0",
"Monsey New Square Trails Corporation","Spring Valley","NY","20135","Private-For-Profit Corporation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","32","CB","Commuter Bus","DO","32","19",,"37",,"56",,"850861",,"819269",,"0",,"0",
"Montachusett Regional Transit Authority","Fitchburg","MA","10061","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","49096","Leominster--Fitchburg, MA","111790","488","DR","Demand Response","PT","93","9",,"6",,"15",,"1934949",,"1690668",,"0",,"0",
"Montachusett Regional Transit Authority","Fitchburg","MA","10061","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","49096","Leominster--Fitchburg, MA","111790","488","MB","Bus","PT","24","39",,"32",,"71",,"880535",,"878778",,"0",,"0",
"City of Montebello, dba: Montebello Bus Lines","Montebello","CA","90041","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","85","MB","Bus","DO","40","21",,"182",,"203",,"1729177",,"1709514",,"0",,"0",
"City of Montebello, dba: Montebello Bus Lines","Montebello","CA","90041","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","85","DR","Demand Response","PT","5","0",,"0",,"0",,"42366",,"30801",,"0",,"0",
"Monterey-Salinas Transit","Monterey","CA","90062","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","80362","Seaside--Monterey--Pacific Grove, CA","123495","165","DR","Demand Response","PT","29","10",,"0",,"10",,"1099924",,"837175",,"0",,"0",
"Monterey-Salinas Transit","Monterey","CA","90062","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","80362","Seaside--Monterey--Pacific Grove, CA","123495","165","MB","Bus","DO","39","54",,"11",,"65",,"2313999",,"2187584",,"0",,"0",
"Monterey-Salinas Transit","Monterey","CA","90062","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","80362","Seaside--Monterey--Pacific Grove, CA","123495","165","MB","Bus","PT","18","6",,"0",,"6",,"782631",,"672004",,"0",,"0",
"Monterey-Salinas Transit","Monterey","CA","90062","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","80362","Seaside--Monterey--Pacific Grove, CA","123495","165","VP","Vanpool","PT","23","0",,"0",,"0",,"310052",,"310052",,"0",,"0",
"City of Montgomery, dba:  The M Transit","Montgomery","AL","40044","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","58600","Montgomery, AL","254348","25","DR","Demand Response","DO","6","1",,"0",,"1",,"195721",,"181381",,"0",,"0",
"City of Montgomery, dba:  The M Transit","Montgomery","AL","40044","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","58600","Montgomery, AL","254348","25","MB","Bus","DO","19","13",,"8",,"21",,"1243048",,"1230741",,"0",,"0",
"Muncie Indiana Transit System","Muncie","IN","50054","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","60625","Muncie, IN","84382","36","DR","Demand Response","DO","9","2",,"6",,"8",,"179186",,"159100",,"0",,"0",
"Muncie Indiana Transit System","Muncie","IN","50054","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","60625","Muncie, IN","84382","36","MB","Bus","DO","27","3",,"9",,"12",,"736144",,"669755",,"0",,"0",
"Municipality of Anchorage","Anchorage","AK","00012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","2305","Anchorage, AK","249252","181","DR","Demand Response","PT","40","10",,"26",,"36",,"957265",,"842374",,"0",,"0",
"Municipality of Anchorage","Anchorage","AK","00012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","2305","Anchorage, AK","249252","181","MB","Bus","DO","47","289",,"242",,"531",,"2443665",,"2278774",,"0",,"0",
"Municipality of Anchorage","Anchorage","AK","00012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","2305","Anchorage, AK","249252","181","VP","Vanpool","PT","94","0",,"0",,"0",,"1899042",,"1899042",,"0",,"0",
"City of Nashua, dba: Nashua Transit System","Nashua","NH","10087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","61165","Nashua, NH--MA","242984","14","DR","Demand Response","PT","6","23",,"5",,"28",,"134377",,"119530",,"0",,"0",
"City of Nashua, dba: Nashua Transit System","Nashua","NH","10087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","61165","Nashua, NH--MA","242984","14","MB","Bus","PT","8","47",,"16",,"63",,"407323",,"397160",,"0",,"0",
